Filename	Metal_coord	Biting_Atom_1	Biting_Atom_2	Smiles_Regen
001_lig.log	[0.295403, -1.384589, 0.164827]	10	22	CC(C)(C)[C@H]1COC(C2(C3=N[C@@H](C(C)(C)C)CO3)CCCC2)=N1
002_lig.log	[2.3e-05, -0.888919, 0.000171]	12	23	c1ccc2c(c1)C[C@H]1OC(CC3=N[C@H]4c5ccccc5C[C@H]4O3)=N[C@@H]21
003_lig.log	[6.7e-05, -1.143472, -0.000239]	10	20	CC(C)(C)[C@H]1COC(C2(C3=N[C@@H](C(C)(C)C)CO3)CC2)=N1
004_lig.log	[-0.035424, -1.235337, 0.468769]	6	14	CCC(CC)(C1=N[C@@H](C(C)C)CO1)C1=N[C@@H](C(C)C)CO1
005_lig.log	[0.039349, -1.008726, 0.123787]	3	12	CC(C1=N[C@@H](C(C)(C)C)CO1)C1=N[C@@H](C(C)(C)C)CO1
006_lig.log	[1.540704, 0.806961, -0.868297]	14	23	CC(Cc1ccc(C(C)(C)C)cc1)(C1=N[C@@H](C(C)(C)C)CO1)C1=N[C@@H](C(C)(C)C)CO1
007_lig.log	[-2.9e-05, -0.253383, 8.2e-05]	5	13	c1ccc([C@@H]2N=C(c3cccc(C4=N[C@@H](c5ccccc5)[C@@H](c5ccccc5)O4)n3)O[C@@H]2c2ccccc2)cc1
008_lig.log	[8.2e-05, 1.426717, 3.4e-05]	4	21	CC(C)(C1=N[C@@H](c2ccccc2)[C@@H](c2ccccc2)O1)C1=N[C@@H](c2ccccc2)[C@@H](c2ccccc2)O1
009_lig.log	[-0.36292, -0.442337, -1.709192]	14	27	c1ccc([C@H]2COC(c3ccccc3P(c3ccccc3)c3ccccc3)=N2)cc1
010_lig.log	[-0.030717, 0.146236, -1.938184]	14	27	CC(C)(C)[C@H]1COC(c2ccccc2P(c2ccccc2)c2ccccc2)=N1
011_lig.log	[0.000106, -1.117153, -0.000139]	12	25	c1ccc2c(c1)C[C@H]1OC(C3(C4=N[C@H]5c6ccccc6C[C@H]5O4)CC3)=N[C@@H]21
012_lig.log	[0.128843, 2.76082, -0.247212]	22	34	CC(C)(C)c1ccc(CC(Cc2ccc(C(C)(C)C)cc2)(C2=N[C@@H]3c4ccccc4C[C@@H]3O2)C2=N[C@@H]3c4ccccc4C[C@@H]3O2)cc1
013_lig.log	[-1.411636, -0.02059, -1.199353]	13	22	CC(CC1=N[C@@H](C(C)(C)C)CO1)(C1=N[C@@H](C(C)(C)C)CO1)C1=N[C@@H](C(C)(C)C)CO1
014_lig.log	[-2e-06, -0.998161, -2.5e-05]	0	7	CC(C)(C1=N[C@H](c2ccccc2)CO1)C1=N[C@H](c2ccccc2)CO1
015_lig.log	[-1.2e-05, -1.115342, -3e-05]	0	7	CC(C)(C1=N[C@@H]2c3ccccc3C[C@@H]2O1)C1=N[C@@H]2c3ccccc3C[C@@H]2O1
016_lig.log	[-7.4e-05, -1.117262, -8.6e-05]	0	7	c1ccc2c(c1)C[C@@H]1OC(C3(C4=N[C@@H]5c6ccccc6C[C@@H]5O4)CC3)=N[C@H]21
017_lig.log	[-0.000336, -0.000644, 1.476171]	1	7	c1ccc(CC(Cc2ccccc2)(C2=N[C@@H]3c4ccccc4C[C@@H]3O2)C2=N[C@@H]3c4ccccc4C[C@@H]3O2)cc1
018_lig.log	[0.506693, -1.281579, -0.488741]	3	7	CC(C)(C1=NCCO1)C1=N[C@@H](c2ccccc2)CO1
019_lig.log	[-2.4e-05, 1.730051, 4e-06]	3	14	CC(C)(C1=NC[C@@H](c2ccccc2)O1)C1=NC[C@@H](c2ccccc2)O1
020_lig.log	[-0.228418, -1.1667, 0.38046]	6	7	C[C@H]1COC(C(C)(C)C2=N[C@@H](C(C)(C)C)CO2)=N1
021_lig.log	[0.577379, -0.896117, 0.596926]	3	12	CC(C)(C1=N[C@@H](Cc2ccccc2)CO1)C1=N[C@@H](C(C)(C)C)CO1
