Model,n_terms,R^2,Q^2,adj_score,fin_score
"('f2chi', 'fbonhq2', 'o8')",3,0.8154141295860697,0.7669586677808921,0.7413858214375557,0.7944444097150591
"('f2chi', 'fbonhq2', 'onh8')",3,0.8112705058247539,0.76133722246407,0.7352347242174206,0.7898418897580926
"('crest_flex', 'fbonhq2', 'fzagreb1')",3,0.8237052610485494,0.7593731213288752,0.730968860516378,0.8033873721353753
"('f2chi', 'fbonhq2', 'fonhq1')",3,0.8089360753611965,0.7553160742965122,0.7274086532755629,0.787320458668733
"('f2chi', 'fbonhq2', 'foq1')",3,0.8086350687503919,0.75448229902705,0.7263811330361175,0.7869934729424637
"('bonh8', 'f2chi', 'fbonhq2')",3,0.8028959874522051,0.752565916001114,0.725730610941383,0.7806269713429193
"('Tnbo1', 'crest_flex', 'fbonhq2')",3,0.8198948556253981,0.7536561649681423,0.7249230822696677,0.7991026365177243
"('f2chi', 'fbonhq2', 'onhr')",3,0.800356234238722,0.7496653616248063,0.7228975750444521,0.7778341262373334
"('f2chi', 'fbonhq2', 'onhq1')",3,0.7956415515984131,0.7483632510413107,0.7205906489763678,0.7724860938880095
"('f2chi', 'fbonhq2', 'oq1')",3,0.7954975452099575,0.7481384299813079,0.7203300774555694,0.7723180210688898
"('f2chi', 'fbonhq2', 'or')",3,0.7983851102121823,0.7470166739918807,0.7200444479142668,0.7756527684152529
"('Tnbo2', 'crest_flex', 'fbonhq2')",3,0.8125326908433106,0.7440419875716502,0.7143351628122407,0.7909077210763465
"('f2chi', 'fbonhq2', 'nbo*')",3,0.7721992916148607,0.7203565132886762,0.7111258987164714,0.7721809347620683
"('f2chi', 'fbonhq2', 'nbo+')",3,0.7921862615275518,0.736367831133674,0.7103558314492572,0.7717312993051211
"('f2chi', 'fbonhq2', 'nbom')",3,0.7827885779810221,0.725924765293763,0.7103558314492568,0.7717312993051209
"('f2chi', 'fbonhq2', 'foh5')",3,0.7987001787389414,0.740589993625335,0.7100690448903995,0.7754188837589264
"('f2chi', 'fbonhq2', 'foh2')",3,0.7987001787389416,0.7405899936253353,0.7100690448903993,0.7754188837589264
"('2chi', 'bonhr', 'd0chi')",3,0.8108681058061556,0.7286639963256315,0.7097484152382768,0.791069662065809
"('f2chi', 'fbonhq2', 'nbo1')",3,0.7873340525192704,0.7307621495953927,0.7096955060138685,0.7706405488864734
"('f2chi', 'fbonhq2', 'fonhh2')",3,0.7970189455581189,0.7376815463783433,0.7070421330082577,0.7736094116589984
"('f2chi', 'fbonhq2', 'fonhh5')",3,0.797018945558119,0.7376815463783428,0.7070421330082577,0.7736094116589984
"('crest_flex', 'f5chiv', 'fbonhq2')",3,0.809759312063077,0.729885201827897,0.706371078291047,0.7890755910964949
"('bonhq2', 'd5chi', 'kier_al')",3,0.7903830891447826,0.7277815582426395,0.7038209767697698,0.7680535658163494
"('Tnbo2', 'bonhr', 'f1kb')",3,0.7925680643818823,0.7333056934715305,0.7038033851037612,0.7689450303236947
"('f2chi', 'fbonhq2', 'oq4')",3,0.8055934498159146,0.732625651622183,0.7038004083061469,0.7836306703516995
"('2chiv', 'crest_flex', 'fbonhq2')",3,0.8118302319899207,0.728786767203137,0.702677494068699,0.7913428808604726
"('Tenbo1', 'angle', 'crest_flex')",3,0.8423426864066363,0.7319778536302433,0.7023156873143753,0.8249112988263452
"('bonhr', 'd0chi', 's2chi')",3,0.8042424300365655,0.7123795794993182,0.7020541074462181,0.7850772252676289
"('bonhr', 'f2chi', 'fbonhq2')",3,0.7900136615421647,0.729583428982647,0.7016902188902732,0.7666481756399233
"('f2chi', 'fbonhq2', 'homo')",3,0.7960835411455265,0.7352229169608442,0.7013837761856876,0.7758364543175401
"('f2chi', 'fbonhq2', 'foq4')",3,0.7952066106092801,0.7319050905581602,0.7005625447958881,0.7716391446072918
"('f2chi', 'fbonhq2', 'fonhq4')",3,0.7950933869302881,0.7312733010330108,0.7003078589798362,0.7715784386090662
"('crest_flex', 'fbonhq2', 'fzagreb2')",3,0.8049301158277002,0.7307574441837523,0.6990986718227248,0.7824159940536753
"('f2chi', 'fbonhq2', 'onhq4')",3,0.8020376436175739,0.7280142581170383,0.6987466815160543,0.779645073200071
"('Tnbo1', 'f2chiv', 'fbonhq2')",3,0.7822824592810913,0.7297676527106285,0.6979589100589809,0.7570964754067474
"('2chi', 'bonhr', 'd1chi')",3,0.8025418808621462,0.7131228929005046,0.697699999187001,0.782380245963995
"('bonhr', 'kier_al', 's2chi')",3,0.8012020374353945,0.7019480663134487,0.696968508558401,0.7823722004614192
"('bonh4', 'f2chi', 'fbonhq2')",3,0.793565876973212,0.7260146212475403,0.6965724797845951,0.7702619309809458
"('2chi', 'bonhr', 'kier_al')",3,0.8011731634480296,0.7108979752791501,0.6960157948489466,0.7812004850663916
"('f2chi', 'fbonhq1', 'fbonhq2')",3,0.7845006030620099,0.7249134227157876,0.6958209395536321,0.7601085531736191
"('bonhq4', 'f2chi', 'fbonhq2')",3,0.7884591163850228,0.7249968776481157,0.6957551364127695,0.7645953172126827
"('dipole', 'f2chi', 'fbonhq2')",3,0.7867800623062615,0.7239657446444054,0.6941035251797331,0.7623028845744315
"('2chiv', 'bonhr', 'kier_al')",3,0.7975306370638369,0.6912813134261747,0.6930357955917015,0.7793080576578921
"('bonhr', 'd1chi', 's2chi')",3,0.7979917063613174,0.6967769304833236,0.6929123210121406,0.7786393078225382
"('2chiv', 'bonhr', 'd0chi')",3,0.796223412501556,0.6940258655259222,0.6925779043008407,0.7775458901575634
"('f2chi', 'fbonhq2')",2,0.7587048082593022,0.7124698346308653,0.6923317902360779,0.7410686291299553
"('f2chi', 'fbonhq2', 'fbonhq4')",3,0.7901981730052547,0.7251207732478293,0.6918384998968549,0.765833449950216
"('f2chi', 'fbonhq2', 'o4')",3,0.7806378153576569,0.7211584913215715,0.6916377048062932,0.7557158316306829
"('2chiv', 'bonhr', 'crest_flex')",3,0.8066541940229842,0.7124090294798674,0.6915617591599081,0.7889280725223415
"('2chiv', '3chi', 'o8')",3,0.7973889160159933,0.7229705477434469,0.6911801677036853,0.7739609115761423
"('Tnbo1', 'f2chi', 'fbonhq2')",3,0.7834036664651707,0.7190858390581925,0.6907243692944687,0.7588798511239603
"('f2chiv', 'fbonhq2', 'oq4')",3,0.7929838596035692,0.7215728340042971,0.6899206096645827,0.7691626758396319
"('f2chi', 'fbonhq2', 'redu')",3,0.775483208766198,0.7185377762811612,0.688757820023226,0.7503764385658555
"('f2chiv', 'fbonhq2', 'onhq4')",3,0.7916974738341738,0.720571926870158,0.6886819669200763,0.7676724215628186
"('crest_flex', 'fT', 'fbonhq2')",3,0.7986584256043876,0.7212070252498701,0.6884883880234908,0.7754058656399878
"('Tnbo2', 'bonhr', 'f1k')",3,0.7880588470523365,0.720149237172649,0.688358053141009,0.763989532527618
"('Tnbo1', 'bonhr', 'f1kal')",3,0.7817842947056751,0.719316848691573,0.6881318966399379,0.7568245345311728
"('f2chi', 'fbonhq2', 'onh4')",3,0.7777337745672223,0.7176523216322168,0.6877979142857606,0.7524982597150673
"('crest_flex', 'fbonhq2', 'festrada')",3,0.802757689126836,0.7196212722737996,0.6876792592475671,0.7800438687968925
"('crest_flex', 'f2kal', 'fbonhq2')",3,0.7949133586221189,0.7184066360022219,0.6870903150032541,0.7718597733717534
"('2chiv', 'bonhr', 'd1chi')",3,0.7924395874729269,0.6828200101227535,0.6865956170762813,0.7735796875428462
"('Tnbo1', 'f1chi', 'fbonhq2')",3,0.7701084110191393,0.7128566079981462,0.6862372072311143,0.745073155677957
"('f2chi', 'fbonhh5', 'fbonhq2')",3,0.7846149310118764,0.7221302353931514,0.6858662418212215,0.7593017376652498
"('Tnbo2', 'f2chiv', 'fbonhq2')",3,0.7747572552355639,0.7181479353253735,0.6849175993460123,0.7487332284311811
"('f2chi', 'fbonhh4', 'onhr')",3,0.7751367210885061,0.7159227145418763,0.6846961112781541,0.7497129093923321
"('f2chi', 'fbonhh1', 'onhr')",3,0.7751367210885063,0.7159227145418774,0.6846961112781541,0.7497129093923323
"('bonhh5', 'f2chi', 'fbonhq2')",3,0.7745771903369967,0.7138544721810142,0.684479347773588,0.7496082013586676
"('f2chi', 'fbonhq2', 'gap')",3,0.7829242358702386,0.7161636940557696,0.6844773987407022,0.7584222702985919
"('f2chiv', 'fbonhq2', 'o8')",3,0.7777123867541045,0.7165308990497562,0.6840726941925165,0.7520025146316033
"('f2chi', 'fbonhh6', 'fbonhq2')",3,0.7765046408278573,0.7129557370849038,0.6838448958207144,0.7517872370611207
"('f2chi', 'fbonhh3', 'fbonhq2')",3,0.7765046408278575,0.7129557370849039,0.6838448958207144,0.7517872370611207
"('f2chiv', 'f5chi', 'fbonhq2')",3,0.7784191825877267,0.7158275104427372,0.6836960470264338,0.7529653736310209
"('bonhr', 'd3chi', 's2chi')",3,0.789527050396668,0.6860020822387672,0.6833045965339596,0.7724206835953245
"('5chiv', 'crest_flex', 'fbonhq2')",3,0.8029820031072243,0.7157247709027947,0.6829755672281419,0.7802517342376976
"('f2chi', 'bonhq2')",2,0.620086771145888,0.5667038232180133,0.6829297450209557,0.7327325156968869
